Unnamed: 0,Country,Player,Team,Base price,Winning bid,Year,team
260,Australia,Shane Watson,Royal Challengers Bangalore,200.0,950,2016,Royal Challengers Bengaluru
261,India,Ashish Nehra,Sunrisers Hyderabad,200.0,550,2016,Sunrisers Hyderabad
262,India,Yuvraj Singh,Sunrisers Hyderabad,200.0,700,2016,Sunrisers Hyderabad
263,South Africa,Dale Steyn,Gujarat Lions,150.0,230,2016,Gujarat Lions
264,India,Sanju Samson,Delhi Capitals,200.0,420,2016,Delhi Capitals
265,England,Jos Buttler,Mumbai Indians,150.0,380,2016,Mumbai Indians
266,India,Dinesh Karthik,Gujarat Lions,200.0,230,2016,Gujarat Lions
267,India,Irfan Pathan,Rising Pune Supergiants,100.0,100,2016,Rising Pune Supergiants
268,South Africa,Chris Morris,Delhi Capitals,50.0,700,2016,Delhi Capitals
269,New Zealand,Colin Munro,Kolkata Knight Riders,30.0,30,2016,Kolkata Knight Riders
270,India,Stuart Binny,Royal Challengers Bangalore,200.0,200,2016,Royal Challengers Bengaluru
271,Australia,Mitchell Marsh,Rising Pune Supergiants,200.0,480,2016,Rising Pune Supergiants
272,India,Dhawal Kulkarni,Gujarat Lions,200.0,230,2016,Gujarat Lions
273,Australia,John Hastings,Kolkata Knight Riders,100.0,130,2016,Kolkata Knight Riders
274,India,Praveen Kumar,Gujarat Lions,50.0,350,2016,Gujarat Lions
275,New Zealand,Tim Southee,Mumbai Indians,100.0,250,2016,Mumbai Indians
276,India,Mohit Sharma,Punjab Kings,150.0,650,2016,Punjab Kings
277,Barbados,Carlos Brathwaite,Delhi Capitals,30.0,420,2016,Delhi Capitals
278,Australia,Marcus Stoinis,Punjab Kings,30.0,55,2016,Punjab Kings
279,Bangladesh,Mustafizur Rahman,Sunrisers Hyderabad,50.0,140,2016,Sunrisers Hyderabad
280,India,Jaydev Unadkat,Kolkata Knight Riders,30.0,160,2016,Kolkata Knight Riders
281,South Africa,Kyle Abbott,Punjab Kings,30.0,210,2016,Punjab Kings
282,India,Barinder Sran,Sunrisers Hyderabad,50.0,120,2016,Sunrisers Hyderabad
283,India,Abhimanyu Mithun,Sunrisers Hyderabad,30.0,30,2016,Sunrisers Hyderabad
284,India,R. P. Singh,Rising Pune Supergiants,30.0,30,2016,Rising Pune Supergiants
285,Australia,Travis Head,Royal Challengers Bangalore,30.0,50,2016,Royal Challengers Bengaluru
286,India,Sachin Baby,Royal Challengers Bangalore,10.0,10,2016,Royal Challengers Bengaluru
287,India,Karun Nair,Delhi Capitals,10.0,400,2016,Delhi Capitals
288,India,Paras Dogra,Gujarat Lions,10.0,400,2016,Gujarat Lions
289,India,Ishan Kishan,Gujarat Lions,10.0,35,2016,Gujarat Lions
290,India,Rishabh Pant,Delhi Capitals,10.0,190,2016,Delhi Capitals
291,India,Eklavya Dwivedi,Gujarat Lions,20.0,100,2016,Gujarat Lions
292,India,Aditya Tare,Sunrisers Hyderabad,20.0,120,2016,Sunrisers Hyderabad
293,India,Iqbal Abdulla,Royal Challengers Bangalore,10.0,10,2016,Royal Challengers Bengaluru
294,India,Deepak Hooda,Sunrisers Hyderabad,10.0,420,2016,Sunrisers Hyderabad
295,India,Ankit Sharma,Rising Pune Supergiants,10.0,10,2016,Rising Pune Supergiants
296,India,Pawan Negi,Delhi Capitals,30.0,850,2016,Delhi Capitals
297,India,Rajat Bhatia,Rising Pune Supergiants,30.0,60,2016,Rising Pune Supergiants
298,India,Pradeep Sangwan,Gujarat Lions,20.0,20,2016,Gujarat Lions
299,India,Nathu Singh,Mumbai Indians,10.0,320,2016,Mumbai Indians
300,India,Ishwar Pandey,Rising Pune Supergiants,20.0,20,2016,Rising Pune Supergiants
301,India,Ankit Rajpoot,Kolkata Knight Riders,10.0,150,2016,Kolkata Knight Riders
302,India,Pravin Tambe,Gujarat Lions,10.0,20,2016,Gujarat Lions
303,India,Shivil Kaushik,Gujarat Lions,10.0,10,2016,Gujarat Lions
304,India,Sarabjit Ladda,Gujarat Lions,10.0,10,2016,Gujarat Lions
305,India,Murugan Ashwin,Rising Pune Supergiants,10.0,450,2016,Rising Pune Supergiants
306,India,KC Cariappa,Punjab Kings,10.0,80,2016,Punjab Kings
307,Australia,Aaron Finch,Gujarat Lions,100.0,100,2016,Gujarat Lions
308,England,Sam Billings,Delhi Capitals,30.0,30,2016,Delhi Capitals
309,India,Tirumalasetti Suman,Sunrisers Hyderabad,10.0,10,2016,Sunrisers Hyderabad
310,India,Ankush Bains,Rising Pune Supergiants,10.0,10,2016,Rising Pune Supergiants
311,India,Umang Sharma,Gujarat Lions,10.0,10,2016,Gujarat Lions
312,Australia,Peter Handscomb,Rising Pune Supergiants,30.0,30,2016,Rising Pune Supergiants
313,India,Jitesh Sharma,Mumbai Indians,10.0,10,2016,Mumbai Indians
314,India,Armaan Jaffer,Punjab Kings,10.0,10,2016,Punjab Kings
315,Barbados,Jason Holder,Kolkata Knight Riders,50.0,70,2016,Kolkata Knight Riders
316,Sri Lanka,Thisara Perera,Rising Pune Supergiants,100.0,100,2016,Rising Pune Supergiants
317,Australia,Ben Cutting,Sunrisers Hyderabad,50.0,50,2016,Sunrisers Hyderabad
318,Australia,Andrew Tye,Gujarat Lions,30.0,50,2016,Gujarat Lions
319,India,Praveen Dubey,Royal Challengers Bangalore,10.0,35,2016,Royal Challengers Bengaluru
320,India,Rajagopal Sathish,Kolkata Knight Riders,20.0,20,2016,Kolkata Knight Riders
321,India,Vijay Shankar,Sunrisers Hyderabad,10.0,35,2016,Sunrisers Hyderabad
322,India,Shadab Jakati,Gujarat Lions,20.0,20,2016,Gujarat Lions
323,India,Akshay Karnewar,Royal Challengers Bangalore,10.0,10,2016,Royal Challengers Bengaluru
324,India,Akshdeep Nath,Gujarat Lions,10.0,10,2016,Gujarat Lions
325,India,Manan Sharma,Kolkata Knight Riders,10.0,10,2016,Kolkata Knight Riders
326,India,Baba Aparajith,Rising Pune Supergiants,10.0,10,2016,Rising Pune Supergiants
327,India,Deepak Chahar,Rising Pune Supergiants,10.0,10,2016,Rising Pune Supergiants
328,India,Kishore Kamath,Mumbai Indians,10.0,140,2016,Mumbai Indians
329,India,Pardeep Sahu,Punjab Kings,10.0,10,2016,Punjab Kings
330,India,Krunal Pandya,Mumbai Indians,10.0,200,2016,Mumbai Indians
331,India,Deepak Punia,Mumbai Indians,10.0,10,2016,Mumbai Indians
332,India,Swapnil Singh,Punjab Kings,10.0,10,2016,Punjab Kings
333,India,Khaleel Ahmed,Delhi Capitals,10.0,10,2016,Delhi Capitals
334,India,Jaydev Shah,Gujarat Lions,20.0,20,2016,Gujarat Lions
335,India,Pratyush Singh,Delhi Capitals,10.0,10,2016,Delhi Capitals
336,India,Ashok Dinda,Rising Pune Supergiants,50.0,50,2016,Rising Pune Supergiants
337,Australia,Kane Richardson,Royal Challengers Bangalore,200.0,200,2016,Royal Challengers Bengaluru
338,Trinidad and Tobago,Samuel Badree,Royal Challengers Bangalore,50.0,50,2016,Royal Challengers Bengaluru
339,Australia,Joel Paris,Delhi Capitals,30.0,30,2016,Delhi Capitals
340,Australia,Scott Boland,Rising Pune Supergiants,50.0,50,2016,Rising Pune Supergiants
341,India,Vikramjeet Malik,Royal Challengers Bangalore,20.0,20,2016,Royal Challengers Bengaluru
342,India,Pawan Suyal,Delhi Capitals,10.0,10,2016,Delhi Capitals
343,Australia,Adam Zampa,Rising Pune Supergiants,30.0,30,2016,Rising Pune Supergiants
344,India,Amit Mishra,Gujarat Lions,10.0,10,2016,Gujarat Lions
345,India,Jaskaran Singh,Rising Pune Supergiants,10.0,10,2016,Rising Pune Supergiants
346,India,Chama Milind,Delhi Capitals,10.0,10,2016,Delhi Capitals
347,India,Vikas Tokas,Royal Challengers Bangalore,10.0,10,2016,Royal Challengers Bengaluru
348,South Africa,Farhaan Behardien,Punjab Kings,30.0,30,2016,Punjab Kings
349,India,Akhil Herwadkar,Delhi Capitals,10.0,10,2016,Delhi Capitals
350,India,Mahipal Lomror,Delhi Capitals,10.0,10,2016,Delhi Capitals
351,England,Eoin Morgan,Punjab Kings,200.0,200,2017,Punjab Kings
352,India,Pawan Negi,Royal Challengers Bangalore,30.0,100,2017,Royal Challengers Bengaluru
353,Sri Lanka,Angelo Mathews,Delhi Capitals,200.0,200,2017,Delhi Capitals
354,England,Ben Stokes,Rising Pune Supergiants,200.0,1450,2017,Rising Pune Supergiants
355,New Zealand,Corey Anderson,Delhi Capitals,100.0,100,2017,Delhi Capitals
356,Trinidad and Tobago,Nicholas Pooran,Mumbai Indians,30.0,30,2017,Mumbai Indians
357,South Africa,Kagiso Rabada,Delhi Capitals,100.0,500,2017,Delhi Capitals
358,New Zealand,Trent Boult,Kolkata Knight Riders,150.0,500,2017,Kolkata Knight Riders
359,England,Tymal Mills,Royal Challengers Bangalore,50.0,1200,2017,Royal Challengers Bengaluru
360,Australia,Pat Cummins,Delhi Capitals,200.0,450,2017,Delhi Capitals
361,Australia,Mitchell Johnson,Mumbai Indians,200.0,200,2017,Mumbai Indians
362,India,Ankit Bawne,Delhi Capitals,10.0,10,2017,Delhi Capitals
363,India,Tanmay Agarwal,Sunrisers Hyderabad,10.0,10,2017,Sunrisers Hyderabad
364,Afghanistan,Mohammad Nabi,Sunrisers Hyderabad,30.0,30,2017,Sunrisers Hyderabad
365,India,K Gowtham,Mumbai Indians,10.0,200,2017,Mumbai Indians
366,India,Rahul Tewatia,Punjab Kings,10.0,25,2017,Punjab Kings
367,India,Aditya Tare,Delhi Capitals,20.0,25,2017,Delhi Capitals
368,India,Eklavya Dwivedi,Sunrisers Hyderabad,30.0,75,2017,Sunrisers Hyderabad
369,India,Aniket Choudhary,Royal Challengers Bangalore,10.0,200,2017,Royal Challengers Bengaluru
370,India,T Natarajan,Punjab Kings,10.0,300,2017,Punjab Kings
371,India,Nathu Singh,Gujarat Lions,30.0,50,2017,Gujarat Lions
372,India,Basil Thampi,Gujarat Lions,10.0,85,2017,Gujarat Lions
373,India,M Ashwin,Delhi Capitals,10.0,100,2017,Delhi Capitals
374,India,Tejas Baroka,Gujarat Lions,10.0,10,2017,Gujarat Lions
375,Afghanistan,Rashid Khan,Sunrisers Hyderabad,50.0,400,2017,Sunrisers Hyderabad
376,India,Pravin Tambe,Sunrisers Hyderabad,10.0,10,2017,Sunrisers Hyderabad
377,England,Chris Woakes,Kolkata Knight Riders,200.0,420,2017,Kolkata Knight Riders
378,India,Karn Sharma,Mumbai Indians,30.0,320,2017,Mumbai Indians
379,India,Rishi Dhawan,Kolkata Knight Riders,30.0,55,2017,Kolkata Knight Riders
380,New Zealand,Matt Henry,Punjab Kings,50.0,50,2017,Punjab Kings
381,India,Jaydev Unadkat,Rising Pune Supergiants,30.0,30,2017,Rising Pune Supergiants
382,India,Varun Aaron,Punjab Kings,30.0,280,2017,Punjab Kings
383,India,Manpreet Gony,Gujarat Lions,30.0,60,2017,Gujarat Lions
384,New Zealand,Martin Guptill,Punjab Kings,50.0,50,2017,Punjab Kings
385,England,Jason Roy,Gujarat Lions,100.0,100,2017,Gujarat Lions
386,India,Saurabh Tiwary,Mumbai Indians,30.0,30,2017,Mumbai Indians
387,England,Chris Jordan,Sunrisers Hyderabad,50.0,50,2017,Sunrisers Hyderabad
388,Australia,Nathan Coulter-Nile,Kolkata Knight Riders,100.0,350,2017,Kolkata Knight Riders
389,India,Praveen Dubey,Royal Challengers Bangalore,10.0,10,2017,Royal Challengers Bengaluru
390,India,Navdeep Saini,Delhi Capitals,10.0,10,2017,Delhi Capitals
391,Australia,Ben Laughlin,Sunrisers Hyderabad,30.0,30,2017,Sunrisers Hyderabad
392,Australia,Billy Stanlake,Royal Challengers Bangalore,30.0,30,2017,Royal Challengers Bengaluru
393,India,Mohammed Siraj,Sunrisers Hyderabad,20.0,260,2017,Sunrisers Hyderabad
394,India,Rahul Chahar,Rising Pune Supergiants,10.0,10,2017,Rising Pune Supergiants
395,India,Saurabh Kumar,Rising Pune Supergiants,10.0,10,2017,Rising Pune Supergiants
396,Sri Lanka,Asela Gunaratne,Mumbai Indians,30.0,30,2017,Mumbai Indians
397,Australia,Daniel Christian,Rising Pune Supergiants,100.0,100,2017,Rising Pune Supergiants
398,Jamaica,Rovman Powell,Kolkata Knight Riders,30.0,30,2017,Kolkata Knight Riders
399,Saint Lucia,Darren Sammy,Punjab Kings,30.0,30,2017,Punjab Kings
400,India,Munaf Patel,Gujarat Lions,30.0,30,2017,Gujarat Lions
401,India,Rinku Singh,Punjab Kings,10.0,10,2017,Punjab Kings
402,India,Shashank Singh,Delhi Capitals,10.0,10,2017,Delhi Capitals
403,India,Milind Tandon,Rising Pune Supergiants,10.0,10,2017,Rising Pune Supergiants
404,India,Kulwant Khejroliya,Mumbai Indians,10.0,10,2017,Mumbai Indians
405,United Arab Emirates,Chirag Suri,Gujarat Lions,10.0,10,2017,Gujarat Lions
406,India,R Sanjay Yadav,Kolkata Knight Riders,10.0,10,2017,Kolkata Knight Riders
407,India,Shelley Shaurya,Gujarat Lions,10.0,10,2017,Gujarat Lions
408,India,Shubham Agarwal,Gujarat Lions,10.0,10,2017,Gujarat Lions
409,India,Ishank Jaggi,Kolkata Knight Riders,10.0,10,2017,Kolkata Knight Riders
410,India,Rahul Tripathi,Rising Pune Supergiants,10.0,10,2017,Rising Pune Supergiants
411,India,Pratham Singh,Gujarat Lions,10.0,10,2017,Gujarat Lions
412,India,Akshdeep Nath,Gujarat Lions,10.0,10,2017,Gujarat Lions
413,New Zealand,Lockie Ferguson,Rising Pune Supergiants,50.0,50,2017,Rising Pune Supergiants
414,India,Manoj Tiwary,Rising Pune Supergiants,50.0,50,2017,Rising Pune Supergiants
415,Trinidad and Tobago,Darren Bravo,Kolkata Knight Riders,50.0,50,2017,Kolkata Knight Riders
416,India,Sayan Ghosh,Kolkata Knight Riders,10.0,10,2017,Kolkata Knight Riders
417,India,Shikhar Dhawan,Sunrisers Hyderabad,200.0,520,2018,Sunrisers Hyderabad
418,India,Ravichandran Ashwin,Punjab Kings,200.0,760,2018,Punjab Kings
419,Trinidad and Tobago,Kieron Pollard,Mumbai Indians,200.0,540,2018,Mumbai Indians
420,England,Ben Stokes,Rajasthan Royals,200.0,1250,2018,Rajasthan Royals
421,South Africa,Faf du Plessis,Chennai Super Kings,150.0,160,2018,Chennai Super Kings
422,India,Ajinkya Rahane,Rajasthan Royals,200.0,400,2018,Rajasthan Royals
423,Australia,Mitchell Starc,Kolkata Knight Riders,200.0,940,2018,Kolkata Knight Riders
424,India,Harbhajan Singh,Chennai Super Kings,200.0,200,2018,Chennai Super Kings
425,Bangladesh,Shakib Al Hasan,Sunrisers Hyderabad,100.0,200,2018,Sunrisers Hyderabad
426,Australia,Glenn Maxwell,Delhi Capitals,200.0,900,2018,Delhi Capitals
427,India,Gautam Gambhir,Delhi Capitals,200.0,280,2018,Delhi Capitals
428,Trinidad and Tobago,Dwayne Bravo,Chennai Super Kings,200.0,640,2018,Chennai Super Kings
429,New Zealand,Kane Williamson,Sunrisers Hyderabad,150.0,300,2018,Sunrisers Hyderabad
430,India,Yuvraj Singh,Punjab Kings,200.0,200,2018,Punjab Kings
431,India,Karun Nair,Punjab Kings,50.0,560,2018,Punjab Kings
432,India,KL Rahul,Punjab Kings,200.0,1100,2018,Punjab Kings
433,South Africa,David Miller,Punjab Kings,150.0,300,2018,Punjab Kings
434,Australia,Aaron Finch,Punjab Kings,150.0,620,2018,Punjab Kings
435,New Zealand,Brendon McCullum,Royal Challengers Bangalore,200.0,360,2018,Royal Challengers Bengaluru
436,England,Jason Roy,Delhi Capitals,150.0,150,2018,Delhi Capitals
437,Australia,Chris Lynn,Kolkata Knight Riders,200.0,960,2018,Kolkata Knight Riders
438,India,Manish Pandey,Sunrisers Hyderabad,100.0,1100,2018,Sunrisers Hyderabad
439,England,Chris Woakes,Royal Challengers Bangalore,200.0,740,2018,Royal Challengers Bengaluru
440,Barbados,Carlos Brathwaite,Sunrisers Hyderabad,100.0,200,2018,Sunrisers Hyderabad
441,Australia,Shane Watson,Chennai Super Kings,100.0,400,2018,Chennai Super Kings
442,India,Kedar Jadhav,Chennai Super Kings,200.0,780,2018,Chennai Super Kings
443,New Zealand,Colin de Grandhomme,Royal Challengers Bangalore,75.0,220,2018,Royal Challengers Bengaluru
444,India,Yusuf Pathan,Sunrisers Hyderabad,75.0,190,2018,Sunrisers Hyderabad
445,New Zealand,Colin Munro,Delhi Capitals,50.0,190,2018,Delhi Capitals
446,India,Stuart Binny,Rajasthan Royals,50.0,50,2018,Rajasthan Royals
447,Australia,Marcus Stoinis,Punjab Kings,200.0,620,2018,Punjab Kings
448,England,Moeen Ali,Royal Challengers Bangalore,150.0,170,2018,Royal Challengers Bengaluru
449,South Africa,Quinton de Kock,Royal Challengers Bangalore,200.0,280,2018,Royal Challengers Bengaluru
450,India,Wriddhiman Saha,Sunrisers Hyderabad,100.0,500,2018,Sunrisers Hyderabad
451,India,Dinesh Karthik,Kolkata Knight Riders,200.0,740,2018,Kolkata Knight Riders
452,India,Robin Uthappa,Kolkata Knight Riders,200.0,640,2018,Kolkata Knight Riders
453,India,Sanju Samson,Rajasthan Royals,100.0,800,2018,Rajasthan Royals
454,India,Ambati Rayudu,Chennai Super Kings,50.0,220,2018,Chennai Super Kings
455,England,Jos Buttler,Rajasthan Royals,150.0,440,2018,Rajasthan Royals
456,Bangladesh,Mustafizur Rahman,Mumbai Indians,100.0,220,2018,Mumbai Indians
457,Australia,Pat Cummins,Mumbai Indians,200.0,540,2018,Mumbai Indians
458,India,Umesh Yadav,Royal Challengers Bangalore,100.0,420,2018,Royal Challengers Bengaluru
459,India,Mohammed Shami,Delhi Capitals,100.0,300,2018,Delhi Capitals
460,South Africa,Kagiso Rabada,Delhi Capitals,150.0,420,2018,Delhi Capitals
461,India,Piyush Chawla,Kolkata Knight Riders,100.0,420,2018,Kolkata Knight Riders
462,South Africa,Imran Tahir,Chennai Super Kings,100.0,100,2018,Chennai Super Kings
463,India,Karn Sharma,Chennai Super Kings,200.0,500,2018,Chennai Super Kings
464,Afghanistan,Rashid Khan,Sunrisers Hyderabad,200.0,900,2018,Sunrisers Hyderabad
465,India,Amit Mishra,Delhi Capitals,150.0,400,2018,Delhi Capitals
466,India,Yuzvendra Chahal,Royal Challengers Bangalore,200.0,600,2018,Royal Challengers Bengaluru
467,India,Kuldeep Yadav,Kolkata Knight Riders,150.0,580,2018,Kolkata Knight Riders
468,India,Suryakumar Yadav,Mumbai Indians,30.0,320,2018,Mumbai Indians
469,India,Shubman Gill,Kolkata Knight Riders,20.0,180,2018,Kolkata Knight Riders
470,India,Ishank Jaggi,Kolkata Knight Riders,20.0,20,2018,Kolkata Knight Riders
471,India,Ricky Bhui,Sunrisers Hyderabad,20.0,20,2018,Sunrisers Hyderabad
472,India,Mayank Agarwal,Punjab Kings,20.0,100,2018,Punjab Kings
473,India,Rahul Tripathi,Rajasthan Royals,20.0,340,2018,Rajasthan Royals
474,India,Manan Vohra,Royal Challengers Bangalore,20.0,110,2018,Royal Challengers Bengaluru
475,India,Prithvi Shaw,Delhi Capitals,20.0,120,2018,Delhi Capitals
476,India,Rahul Tewatia,Delhi Capitals,20.0,300,2018,Delhi Capitals
477,India,Deepak Hooda,Sunrisers Hyderabad,40.0,360,2018,Sunrisers Hyderabad
478,India,Vijay Shankar,Delhi Capitals,40.0,320,2018,Delhi Capitals
479,India,Harshal Patel,Delhi Capitals,20.0,20,2018,Delhi Capitals
480,India,Kamlesh Nagarkoti,Kolkata Knight Riders,20.0,320,2018,Kolkata Knight Riders
481,India,Krunal Pandya,Mumbai Indians,40.0,880,2018,Mumbai Indians
482,India,Nitish Rana,Kolkata Knight Riders,20.0,340,2018,Kolkata Knight Riders
483,Australia,D'Arcy Short,Rajasthan Royals,20.0,400,2018,Rajasthan Royals
484,Barbados,Jofra Archer,Rajasthan Royals,40.0,720,2018,Rajasthan Royals
485,India,Ishan Kishan,Mumbai Indians,40.0,620,2018,Mumbai Indians
486,India,Kulwant Khejroliya,Royal Challengers Bangalore,20.0,85,2018,Royal Challengers Bengaluru
487,India,Siddharth Kaul,Sunrisers Hyderabad,30.0,380,2018,Sunrisers Hyderabad
488,India,T Natarajan,Sunrisers Hyderabad,40.0,40,2018,Sunrisers Hyderabad
489,India,Basil Thampi,Sunrisers Hyderabad,30.0,95,2018,Sunrisers Hyderabad
490,India,Aniket Choudhary,Royal Challengers Bangalore,30.0,30,2018,Royal Challengers Bengaluru
491,India,Khaleel Ahmed,Sunrisers Hyderabad,20.0,300,2018,Sunrisers Hyderabad
492,India,Navdeep Saini,Royal Challengers Bangalore,20.0,300,2018,Royal Challengers Bengaluru
493,India,Avesh Khan,Delhi Capitals,20.0,70,2018,Delhi Capitals
494,India,Ankit Rajpoot,Punjab Kings,30.0,300,2018,Punjab Kings
495,India,Rahul Chahar,Mumbai Indians,20.0,190,2018,Mumbai Indians
496,India,Shahbaz Nadeem,Delhi Capitals,40.0,320,2018,Delhi Capitals
497,India,Krishnappa Gowtham,Rajasthan Royals,20.0,620,2018,Rajasthan Royals
498,India,Murugan Ashwin,Royal Challengers Bangalore,20.0,220,2018,Royal Challengers Bengaluru
499,Trinidad and Tobago,Evin Lewis,Mumbai Indians,150.0,380,2018,Mumbai Indians
500,India,Saurabh Tiwary,Mumbai Indians,50.0,80,2018,Mumbai Indians
501,India,Mandeep Singh,Royal Challengers Bangalore,50.0,140,2018,Royal Challengers Bengaluru
502,India,Manoj Tiwary,Punjab Kings,50.0,100,2018,Punjab Kings
503,India,Washington Sundar,Royal Challengers Bangalore,150.0,320,2018,Royal Challengers Bengaluru
504,India,Pawan Negi,Royal Challengers Bangalore,50.0,100,2018,Royal Challengers Bengaluru
505,Australia,Daniel Christian,Delhi Capitals,100.0,150,2018,Delhi Capitals
506,India,Jayant Yadav,Delhi Capitals,50.0,50,2018,Delhi Capitals
507,India,Gurkeerat Singh,Delhi Capitals,50.0,75,2018,Delhi Capitals
508,Australia,Ben Cutting,Mumbai Indians,100.0,220,2018,Mumbai Indians
509,Afghanistan,Mohammad Nabi,Sunrisers Hyderabad,50.0,100,2018,Sunrisers Hyderabad
510,India,Dhawal Kulkarni,Rajasthan Royals,50.0,75,2018,Rajasthan Royals
511,India,Mohit Sharma,Punjab Kings,150.0,240,2018,Punjab Kings
512,India,Sandeep Sharma,Sunrisers Hyderabad,50.0,300,2018,Sunrisers Hyderabad
513,India,Vinay Kumar,Kolkata Knight Riders,100.0,100,2018,Kolkata Knight Riders
514,India,Mohammed Siraj,Royal Challengers Bangalore,100.0,260,2018,Royal Challengers Bengaluru
515,Australia,Nathan Coulter-Nile,Royal Challengers Bangalore,150.0,220,2018,Royal Challengers Bengaluru
516,India,Jaydev Unadkat,Rajasthan Royals,150.0,1150,2018,Rajasthan Royals
517,New Zealand,Trent Boult,Delhi Capitals,150.0,220,2018,Delhi Capitals
518,India,Shardul Thakur,Chennai Super Kings,75.0,260,2018,Chennai Super Kings
519,Afghanistan,Mujeeb Zadran,Punjab Kings,50.0,400,2018,Punjab Kings
520,India,Apoorv Wankhade,Kolkata Knight Riders,20.0,20,2018,Kolkata Knight Riders
521,India,Rinku Singh,Kolkata Knight Riders,20.0,80,2018,Kolkata Knight Riders
522,India,Sachin Baby,Sunrisers Hyderabad,20.0,20,2018,Sunrisers Hyderabad
523,India,Manjot Kalra,Delhi Capitals,20.0,20,2018,Delhi Capitals
